,City,Country,Lat,Lon,Cloudiness,Date,Humidity,Max Temp,Wind Speed
0,barrow,AR,-38.31,-60.23,100.0,1570746655.1546607,61.0,59.76,6.39
0,avarua,CK,-21.21,-159.78,7.0,1570746655.6169226,60.0,75.2,12.75
0,hithadhoo,MV,-0.6,73.08,100.0,1570746656.152169,79.0,82.31,14.25
0,mataura,NZ,-46.19,168.86,100.0,1570746656.483061,87.0,44.01,11.01
0,saldanha,PT,41.42,-6.55,0.0,1570746656.8098943,51.0,58.41,2.26
0,busselton,AU,-33.64,115.35,86.0,1570746657.186336,80.0,62.01,8.23
0,bredasdorp,ZA,-34.53,20.04,97.0,1570746657.6972227,81.0,54.0,2.24
0,blind river,CA,46.19,-82.96,1.0,1570746658.1082423,67.0,62.6,11.41
0,ostrovnoy,RU,68.05,39.51,68.0,1570746658.4265292,89.0,31.95,14.81
0,abakaliki,NG,6.32,8.11,40.0,1570746658.9256232,100.0,77.0,3.36
0,bilma,NE,18.69,12.92,67.0,1570746659.2418861,20.0,87.8,7.63
0,punta arenas,CL,-53.16,-70.91,75.0,1570746659.5514722,86.0,33.8,27.51
0,knysna,ZA,-34.04,23.05,100.0,1570746659.8861442,87.0,50.0,3.36
0,mutare,MZ,-18.97,32.67,83.0,1570746660.2292356,78.0,68.41,7.33
0,hobyo,SO,5.35,48.53,2.0,1570746660.6263826,80.0,79.32,8.8
0,talcahuano,CL,-36.72,-73.12,100.0,1570746660.9559932,63.0,60.8,12.75
0,atuona,PF,-9.8,-139.03,0.0,1570746661.520238,67.0,79.05,9.9
0,dunedin,NZ,-45.87,170.5,100.0,1570746661.8531199,97.0,48.0,20.83
0,sola,TZ,-3.17,33.8,97.0,1570746662.1849124,65.0,70.68,6.35
0,ketchikan,US,55.34,-131.65,90.0,1570746662.5467582,76.0,51.8,16.11
0,esperance,AU,-33.86,121.89,90.0,1570746662.8947546,93.0,53.6,1.12
0,hauterive,CA,49.18,-68.27,1.0,1570746663.2986438,75.0,48.2,2.93
0,tucurui,BR,-3.77,-49.67,100.0,1570746663.6392543,73.0,80.1,1.89
0,havoysund,NO,71.0,24.66,75.0,1570746663.9900575,100.0,33.8,8.05
0,cap malheureux,MU,-19.98,57.61,75.0,1570746664.3366451,69.0,73.4,11.41
0,mahebourg,MU,-20.41,57.7,75.0,1570746664.856518,69.0,73.4,11.41
0,hobart,AU,-42.88,147.33,75.0,1570746665.3079455,61.0,51.01,6.93
0,khatanga,RU,71.98,102.47,51.0,1570746665.6159666,82.0,13.82,9.26
0,ushuaia,AR,-54.81,-68.31,90.0,1570746665.9269028,92.0,30.2,31.09
0,senanga,ZM,-16.1,23.3,100.0,1570746666.3140812,54.0,73.36,4.59
0,aripuana,BR,-9.17,-60.63,74.0,1570746666.8921635,92.0,73.69,0.61
0,acapulco,MX,16.86,-99.88,75.0,1570746667.220923,62.0,87.8,3.36
0,hualmay,PE,-11.1,-77.61,26.0,1570746667.5897963,85.0,57.09,1.5
0,canico,PT,32.63,-16.85,75.0,1570746667.9409308,68.0,69.8,5.82
0,tanout,NE,14.97,8.88,99.0,1570746668.4956944,48.0,82.85,4.33
0,taranagar,IN,28.67,75.04,0.0,1570746668.8122094,40.0,75.9,5.66
0,cidreira,BR,-30.17,-50.22,0.0,1570746669.1396365,80.0,69.48,16.31
0,islamkot,PK,24.7,70.18,0.0,1570746669.4750817,53.0,81.52,7.35
0,erzin,TR,36.95,36.2,40.0,1570746669.8848763,82.0,73.99,4.7
0,arraial do cabo,BR,-22.97,-42.02,75.0,1570746670.3261023,94.0,71.6,12.75
0,tigzirt,DZ,36.57,4.2,0.0,1570746670.7045407,50.0,63.59,4.56
0,mgandu,TZ,-5.96,34.11,12.0,1570746671.12232,83.0,63.16,9.57
0,saint george,GR,39.45,22.34,20.0,1570746671.4747193,93.0,62.6,1.36
0,kapaa,US,22.08,-159.32,1.0,1570746671.8132684,74.0,91.4,5.82
0,impfondo,CD,1.62,18.06,70.0,1570746672.2282338,92.0,70.97,1.03
0,mar del plata,AR,-46.43,-67.52,43.0,1570746672.5582361,74.0,44.01,8.86
0,pipirig,RO,47.23,26.08,96.0,1570746672.8876028,66.0,59.0,6.93
0,lasa,CY,34.92,32.53,20.0,1570746673.3069575,72.0,77.0,6.93
0,east london,ZA,-33.02,27.91,30.0,1570746673.6459196,70.0,60.21,14.04
0,tasiilaq,GL,65.61,-37.64,24.0,1570746673.9721637,74.0,33.8,6.93
0,qasigiannguit,GL,68.82,-51.19,20.0,1570746674.3254378,49.0,26.6,28.86
0,necochea,AR,-38.55,-58.74,100.0,1570746674.7315931,66.0,59.0,7.62
0,ust-maya,RU,60.42,134.54,100.0,1570746675.2877245,89.0,21.81,8.94
0,upernavik,GL,72.79,-56.15,98.0,1570746675.6101663,52.0,27.82,3.83
0,coihaique,CL,-45.58,-72.07,40.0,1570746675.9705262,93.0,53.6,8.05
0,castro,CL,-42.48,-73.76,90.0,1570746676.2921185,100.0,51.8,10.29
0,rikitea,PF,-23.12,-134.97,84.0,1570746676.617257,64.0,69.35,7.32
0,hilo,US,19.71,-155.08,84.0,1570746676.9328225,92.0,77.0,7.0
0,makakilo city,US,21.35,-158.09,75.0,1570746677.3386595,70.0,89.6,12.75
0,ancud,CL,-41.87,-73.83,90.0,1570746677.7067556,100.0,51.8,10.29
0,maygatasan,PH,8.71,125.72,100.0,1570746678.0827205,71.0,80.87,0.86
0,port shepstone,ZA,-30.74,30.45,96.0,1570746678.451996,81.0,56.34,4.23
0,thompson,CA,55.74,-97.86,75.0,1570746678.8328528,41.0,39.2,4.7
0,barra do bugres,BR,-15.07,-57.19,80.0,1570746679.5095427,64.0,80.17,4.83
0,vila franca do campo,PT,37.72,-25.43,40.0,1570746680.0228806,72.0,71.01,5.82
0,brigantine,US,39.41,-74.36,75.0,1570746680.4330015,37.0,69.8,14.99
0,saint-francois,FR,46.42,3.91,90.0,1570746680.94273,87.0,55.4,3.36
0,yellowknife,CA,62.45,-114.38,75.0,1570746681.4126894,69.0,39.2,6.93
0,cape town,ZA,-33.93,18.42,49.0,1570746681.744929,82.0,60.01,8.05
0,port elizabeth,US,39.31,-74.98,1.0,1570746682.0941348,33.0,72.0,13.87
0,albany,US,42.65,-73.75,20.0,1570746682.728758,42.0,64.4,9.17
0,vaini,IN,15.34,74.49,50.0,1570746683.0648804,93.0,68.38,1.72
0,lavrentiya,RU,65.58,-170.99,6.0,1570746683.383626,60.0,33.71,7.0
0,kitui,KE,-1.37,38.02,79.0,1570746683.7130036,93.0,66.69,6.33
0,kattivakkam,IN,13.22,80.32,20.0,1570746684.0477474,88.0,82.99,3.36
0,yar-sale,RU,66.83,70.83,55.0,1570746684.4439535,84.0,33.35,12.34
0,atar,MR,20.52,-13.05,30.0,1570746684.7924185,22.0,83.34,11.83
0,pando,UY,-34.72,-55.96,24.0,1570746685.128891,60.0,75.2,9.45
0,qaanaaq,GL,77.48,-69.36,82.0,1570746685.5512693,59.0,27.41,10.55
0,tuktoyaktuk,CA,69.44,-133.03,20.0,1570746685.8580048,86.0,35.6,2.24
0,santa rosa,AR,-36.62,-64.29,52.0,1570746686.3716412,67.0,66.4,7.19
0,narsaq,GL,60.91,-46.05,1.0,1570746687.499404,59.0,35.6,3.36
0,jamestown,AU,-33.21,138.6,0.0,1570746687.907294,36.0,63.66,10.28
0,nanyamba,MZ,-10.69,39.81,20.0,1570746688.2278233,94.0,75.2,5.82
0,crotone,IT,39.09,17.12,0.0,1570746688.5421202,80.0,68.14,6.55
0,agirish,RU,61.92,63.02,0.0,1570746688.8771951,79.0,31.17,5.7
0,lichuan,CN,30.3,108.94,100.0,1570746689.2977471,97.0,56.84,2.59
0,bubaque,GW,11.28,-15.83,19.0,1570746689.6057475,76.0,82.44,8.75
0,bluff,AU,-23.58,149.07,57.0,1570746690.129403,66.0,70.88,9.99
0,axim,GH,4.87,-2.24,52.0,1570746690.7002902,95.0,74.97,4.66
0,hermanus,ZA,-34.42,19.24,93.0,1570746691.2427034,87.0,55.99,1.01
0,catazaja,MX,17.73,-92.02,75.0,1570746691.5802615,70.0,89.6,2.06
0,lebu,ET,8.96,38.73,40.0,1570746692.0101178,82.0,57.2,6.93
0,iqaluit,CA,63.75,-68.52,90.0,1570746692.3220022,80.0,37.4,3.36
0,geraldton,CA,49.72,-86.95,90.0,1570746692.636978,58.0,57.2,9.17
0,ushumun,RU,52.78,126.54,79.0,1570746692.9519615,51.0,27.3,12.55
0,kirakira,SB,-10.46,161.92,42.0,1570746693.2696543,70.0,83.12,6.41
0,kefamenanu,ID,-9.45,124.48,6.0,1570746693.880904,28.0,84.02,6.38
0,xuanhua,CN,40.61,115.04,21.0,1570746694.3378806,87.0,50.99,6.78
0,gat,SN,14.69,-16.54,24.0,1570746694.6704006,88.0,84.2,5.82
0,mosjoen,NO,65.84,13.19,82.0,1570746695.0107515,83.0,37.4,6.93
0,antofagasta,CL,-23.65,-70.4,20.0,1570746695.3781652,67.0,60.8,11.41
0,jinxiang,CN,35.07,116.31,99.0,1570746695.7083533,84.0,62.78,6.6
0,port lincoln,AU,-34.72,135.86,32.0,1570746696.0218735,75.0,57.69,15.06
0,mizdah,LY,31.45,12.98,0.0,1570746696.34673,88.0,60.91,2.77
0,moose factory,CA,51.26,-80.61,1.0,1570746696.6729567,39.0,64.4,8.05
0,altagracia de orituco,VE,9.86,-66.38,100.0,1570746697.2784338,92.0,68.11,1.58
0,ormara,PK,25.21,64.64,0.0,1570746697.6002586,79.0,81.41,7.94
0,vasarosnameny,HU,48.13,22.32,41.0,1570746698.050552,81.0,53.01,6.93
0,lukulu,ZM,-14.38,23.24,83.0,1570746698.5031092,62.0,68.22,2.15
0,eirunepe,BR,-6.66,-69.87,99.0,1570746698.9301844,94.0,72.28,1.49
0,touros,BR,-5.2,-35.46,40.0,1570746699.274014,78.0,77.0,8.05
0,bambous virieux,MU,-20.34,57.76,75.0,1570746699.6033962,69.0,73.4,11.41
0,katsuura,JP,33.93,134.5,75.0,1570746700.0020912,88.0,69.8,6.93
0,fortuna,US,40.6,-124.16,1.0,1570746700.502031,34.0,72.0,11.41
0,butaritari,KI,3.07,172.79,50.0,1570746700.9097486,59.0,84.58,7.24
0,ribeira grande,PT,38.52,-28.7,38.0,1570746701.326749,79.0,64.89,14.61
0,dauriya,RU,49.93,116.85,0.0,1570746701.660259,39.0,23.23,10.82
0,mersing,MY,2.43,103.84,41.0,1570746702.0034227,71.0,82.26,3.52
0,alihe,CN,50.57,123.73,27.0,1570746702.3764951,34.0,25.65,11.43
0,carnarvon,ZA,-30.97,22.13,0.0,1570746702.723509,31.0,50.22,10.9
0,nikolskoye,RU,59.7,30.79,90.0,1570746703.0586913,93.0,45.0,2.58
0,provideniya,RU,64.42,-173.23,0.0,1570746703.3826957,59.0,33.8,1.35
0,moyale,ET,3.52,39.05,99.0,1570746703.7997825,79.0,70.75,5.78
0,salalah,OM,17.01,54.1,20.0,1570746704.2926013,78.0,78.8,3.36
0,byron bay,AU,-28.65,153.62,40.0,1570746704.797312,77.0,66.99,8.05
0,birao,CF,10.3,22.78,11.0,1570746705.2084243,71.0,74.8,1.58
0,nanortalik,GL,60.14,-45.24,0.0,1570746705.5678253,78.0,38.91,5.02
0,sioux lookout,CA,50.1,-91.92,90.0,1570746706.1659842,87.0,51.8,5.82
0,bandar,BD,22.29,91.78,100.0,1570746706.5185354,90.0,72.01,3.08
0,viedma,AR,-40.81,-62.99,99.0,1570746706.8701108,37.0,66.45,21.46
0,klaksvik,FO,62.23,-6.59,85.0,1570746707.5668347,100.0,44.6,8.05
0,ushtobe,KZ,45.25,77.98,84.0,1570746708.038148,44.0,60.48,7.52
0,new norfolk,AU,-42.78,147.06,75.0,1570746708.592954,61.0,51.01,6.93
0,kedougou,SN,12.56,-12.19,40.0,1570746709.0028775,83.0,82.4,6.93
0,mount isa,AU,-20.73,139.49,0.0,1570746709.439329,14.0,69.8,8.05
0,anadyr,RU,64.73,177.51,20.0,1570746709.7852256,86.0,26.6,4.47
0,labuhan,ID,-2.54,115.51,83.0,1570746710.122161,66.0,82.69,1.16
0,surt,LY,31.21,16.59,0.0,1570746710.464183,76.0,70.54,5.82
0,san carlos de bariloche,AR,-41.13,-71.31,20.0,1570746710.801756,54.0,55.4,25.28
0,georgetown,GY,6.8,-58.16,20.0,1570746711.206097,74.0,84.2,6.93
0,nouadhibou,MR,20.93,-17.03,94.0,1570746711.591442,44.0,80.6,17.22
0,te anau,NZ,-45.41,167.72,100.0,1570746711.9838202,93.0,41.88,8.81
0,pisco,PE,-13.71,-76.2,0.0,1570746712.4079015,30.0,71.6,9.17
0,shache,CN,38.42,77.24,4.0,1570746712.7608674,28.0,54.88,4.7
0,sitka,US,37.17,-99.65,0.0,1570746713.1309776,57.0,45.0,28.99
0,tilichiki,RU,60.47,166.1,100.0,1570746713.544176,75.0,31.71,11.75
0,puerto ayora,EC,-0.74,-90.35,30.0,1570746714.0184846,68.0,71.6,13.87
0,caborca,MX,30.58,-111.1,0.0,1570746714.6356509,28.0,87.01,4.0
0,les cayes,HT,18.19,-73.75,20.0,1570746715.1453137,72.0,83.68,8.8
0,yeniseysk,RU,58.45,92.17,0.0,1570746715.5443497,67.0,24.17,4.29
0,port hardy,CA,50.7,-127.42,75.0,1570746715.955027,70.0,48.2,6.93
0,dawson creek,CA,55.76,-120.23,1.0,1570746716.301635,45.0,44.6,2.32
0,omaruru,NA,-21.42,15.95,33.0,1570746716.6642604,48.0,62.08,4.31
0,naze,NG,5.43,7.07,75.0,1570746717.0030923,94.0,78.8,4.23
0,saskylakh,RU,71.97,114.09,99.0,1570746717.3975987,94.0,11.84,13.1
0,souillac,FR,45.6,-0.6,0.0,1570746717.768501,93.0,55.99,2.24
0,kavaratti,IN,10.57,72.64,86.0,1570746718.1218917,71.0,83.43,5.15
0,hofn,IS,64.25,-15.21,100.0,1570746718.4945574,90.0,47.61,30.2
0,yulara,AU,-25.24,130.99,0.0,1570746718.8322434,13.0,68.0,6.93
0,norman wells,CA,65.28,-126.83,75.0,1570746719.1629853,49.0,46.4,10.29
0,vrangel,RU,42.73,133.08,33.0,1570746719.7645245,87.0,56.57,10.41
0,portland,US,43.66,-70.25,40.0,1570746720.1872478,44.0,57.99,10.29
0,chuy,UY,-33.69,-53.46,3.0,1570746720.5334613,78.0,67.44,10.02
0,torbay,CA,47.66,-52.73,20.0,1570746720.9460545,86.0,45.0,2.24
0,sinnamary,GF,5.38,-52.96,57.0,1570746721.5078144,78.0,81.68,19.31
0,gold coast,AU,-28.0,153.41,90.0,1570746721.8408303,59.0,68.0,8.05
0,husavik,CA,50.56,-96.99,100.0,1570746722.1716805,97.0,35.01,5.99
0,stonewall,CA,50.13,-97.33,90.0,1570746722.5015807,97.0,35.01,24.16
0,zaigrayevo,RU,51.83,108.27,75.0,1570746722.8875687,62.0,24.8,4.47
0,marsa matruh,EG,31.35,27.25,92.0,1570746723.2407403,83.0,73.4,5.67
0,shima,JP,34.34,136.82,75.0,1570746723.5782688,69.0,73.4,6.93
0,kualakapuas,ID,-3.01,114.39,90.0,1570746724.124332,94.0,75.2,2.81
0,garowe,SO,8.41,48.48,49.0,1570746724.46069,74.0,77.16,13.23
0,touho,NC,-20.78,165.23,0.0,1570746724.7908819,35.0,86.38,1.75
0,nouakchott,MR,18.08,-15.98,24.0,1570746725.1997035,78.0,82.4,6.93
0,beringovskiy,RU,63.05,179.32,79.0,1570746725.6936333,69.0,32.92,4.58
0,sur,OM,22.57,59.53,0.0,1570746726.4135537,56.0,80.31,7.12
0,umm lajj,SA,25.02,37.27,0.0,1570746726.8189688,20.0,87.89,9.31
0,palana,RU,59.08,159.95,95.0,1570746727.2278767,85.0,38.84,5.34
0,sao filipe,CV,14.9,-24.5,62.0,1570746727.562752,82.0,78.46,9.55
0,kamenka,MD,48.03,28.7,100.0,1570746727.9635072,88.0,50.0,3.86
0,deputatskiy,RU,69.3,139.9,100.0,1570746728.499343,94.0,12.69,0.83
0,lata,IN,30.78,78.62,0.0,1570746729.0465527,56.0,27.73,1.4
0,jumla,NP,29.28,82.18,3.0,1570746729.3852217,82.0,38.75,3.97
0,dingle,PH,11.0,122.67,78.0,1570746729.7095912,81.0,79.5,4.32
0,nerja,ES,36.75,-3.88,1.0,1570746730.2879217,72.0,71.6,2.24
0,port alfred,ZA,-33.59,26.89,2.0,1570746730.6727931,83.0,54.0,3.0
0,soyo,AO,-6.13,12.37,100.0,1570746731.0105317,85.0,76.53,4.21
0,rio brilhante,BR,-21.8,-54.54,6.0,1570746731.4256704,37.0,81.7,5.3
0,jodiya,IN,22.69,70.31,6.0,1570746731.9379227,88.0,84.0,4.04
0,bethel,US,60.79,-161.76,75.0,1570746732.3499925,80.0,39.2,13.87
0,turtas,RU,58.94,69.13,100.0,1570746732.7612329,91.0,41.32,8.38
0,mildura,AU,-34.18,142.16,0.0,1570746733.17202,58.0,54.0,10.29
0,changli,CN,30.54,105.42,96.0,1570746733.4897697,87.0,61.39,3.21
0,airai,TL,-8.93,125.41,92.0,1570746733.8254275,22.0,81.05,7.9
0,micheweni,TZ,-4.97,39.83,75.0,1570746734.1383388,82.0,79.56,8.33
0,jemnice,CZ,49.02,15.57,0.0,1570746734.5095859,87.0,48.0,5.82
0,mabaruma,GY,8.2,-59.78,100.0,1570746734.8520176,98.0,72.52,2.24
0,evensk,RU,61.92,159.24,100.0,1570746735.1647413,68.0,33.67,7.21
0,kovdor,RU,67.56,30.47,85.0,1570746735.5117755,94.0,30.51,7.61
0,camohaguin,PH,13.91,122.17,23.0,1570746736.0849035,77.0,80.64,7.03
0,clyde river,CA,70.47,-68.59,75.0,1570746736.4596796,74.0,33.8,11.41
0,pandan,PH,11.72,122.09,15.0,1570746737.0637114,75.0,81.72,8.71
0,tandalti,SD,13.01,31.87,28.0,1570746737.3719814,53.0,84.65,13.99
0,teeli,RU,51.01,90.2,8.0,1570746737.7389252,81.0,32.09,1.57
0,hasaki,JP,35.73,140.83,75.0,1570746738.058763,100.0,64.4,8.05
0,porto walter,BR,-8.27,-72.74,64.0,1570746738.3658998,64.0,79.23,2.51
0,borogontsy,RU,62.67,131.17,99.0,1570746738.6916234,70.0,18.28,7.71
0,armidale,AU,-30.51,151.67,94.0,1570746739.0243764,59.0,48.99,5.01
